Year,International number ID,"Flag of modification, addition or elimination",Flag of header or data line,Time(UTC),Flag of data category,Before modification,After modification,With or without modification of graphics,Date of revision
2006,0613,1,2,2006091718,D03,5,4,0,20210329
2011,1113,1,1,,H06,0,1,0,20210329
2011,1113,1,1,,H07,6,0,0,20210329
2017,1705,1,1,,H03,112,111,0,20210329
2017,1705,1,2,2017080700,D14,,#,0,20210329
2017,1705,3,2,2017080701,,17080701 002 4 333 1342  970     060     90050 0050 30200 0150         #,,0,20210329
2019,1910,1,2,2019081506,D14,,#,0,20210329
1960,6009,1,1,,H08,TRIS,TRIX,0,20220330
1961,6103,1,1,,H08,ARICE,ALICE,0,20220330
1962,6218,1,1,,H08,BABS,BABE,0,20220330
1962,6220,1,1,,H08,CHARLOTTE,CARLA ,0,20220330
1975,7518,1,1,,H08,HELLEN,HELEN,0,20220330
1980,8021,1,1,,H08,BELLY,BETTY,0,20220330
1981,8109,1,1,,H08,,NINA,0,20220330
1985,8524,1,1,,H08,FAY,FAYE,0,20220330
1992,9226,1,2,1992102400,D08,9,0,0,20220330
1992,9226,1,2,1992102400,D09,0040,0000,0,20220330
1992,9226,1,2,1992102400,D10,0040,0000,0,20220330
1992,9226,1,2,1992102406,D08,9,0,0,20220330
1992,9226,1,2,1992102406,D09,0040,0000,0,20220330
1992,9226,1,2,1992102406,D10,0040,0000,0,20220330
1992,9226,1,2,1992102412,D08,9,0,0,20220330
1992,9226,1,2,1992102412,D09,0040,0000,0,20220330
1992,9226,1,2,1992102412,D10,0040,0000,0,20220330
1993,9311,1,2,1993082312,D08,9,0,0,20220330
1993,9311,1,2,1993082318,D08,9,0,0,20220330
1993,9311,1,2,1993082803,D08,9,0,0,20220330
1993,9313,1,2,1993083112,D08,9,0,0,20220330
1993,9320,1,2,1993100718,D08,9,0,0,20220330
1993,9326,1,2,1993120900,D08,9,0,0,20220330
1994,9401,1,2,1994040418,D08,9,0,0,20220330
1994,9405,1,2,1994070812,D08,9,0,0,20220330
1994,9407,1,2,1994072503,D08,9,0,0,20220330
1994,9407,1,2,1994072504,D08,9,0,0,20220330
1994,9417,1,2,1994090112,D08,9,0,0,20220330
1994,9420,1,2,1994090106,D08,9,0,0,20220330
1994,9420,1,2,1994090412,D08,9,0,0,20220330
1994,9420,1,2,1994090418,D08,9,0,0,20220330
1994,9420,1,2,1994090500,D08,9,0,0,20220330
1994,9420,1,2,1994090506,D08,9,0,0,20220330
1995,9503,1,2,1995071900,D08,9,0,0,20220330
1995,9503,1,2,1995072312,D08,9,0,0,20220330
1995,9504,1,2,1995073006,D08,9,0,0,20220330
1995,9504,1,2,1995073012,D08,9,0,0,20220330
1995,9504,1,2,1995073106,D08,9,0,0,20220330
1995,9511,1,2,1995090612,D12,0080,0120,0,20220330
1995,9511,1,2,1995090612,D13,0120,0080,0,20220330
1995,9511,1,2,1995090618,D12,0080,0120,0,20220330
1995,9511,1,2,1995090618,D13,0120,0080,0,20220330
1995,9513,1,2,1995092112,D08,9,0,0,20220330
1995,9519,1,2,1995102600,D08,9,0,0,20220330
1971,7115,1,1,,H06,0,1,0,20230328
1971,7122,1,1,,H06,0,1,0,20230328
1971,7123,1,1,,H06,1,0,0,20230328
1971,7130,1,1,,H06,0,1,0,20230328
1972,7202,1,2,1972060800,D03,9,6,0,20230328
1972,7216,1,1,,H06,0,1,0,20230328
1972,7217,1,1,,H06,0,1,0,20230328
1972,7222,1,1,,H06,0,1,0,20230328
1972,7229,1,1,,H06,0,1,0,20230328
1973,7302,1,1,,H06,0,1,0,20230328
1973,7320,1,1,,H06,0,1,0,20230328
1974,7422,1,1,,H06,1,0,0,20230328
1974,7427,1,1,,H06,0,1,0,20230328
1975,7506,1,1,,H06,0,1,0,20230328
1975,7506,1,2,1975082512,D05,1795,1745,1,20230328
1975,7510,1,1,,H06,1,0,0,20230328
1975,7511,1,1,,H06,0,1,0,20230328
1975,7520,1,1,,H06,0,1,0,20230328
1977,7710,1,1,,H06,0,1,0,20230328
1977,7714,1,1,,H06,1,0,0,20230328
1978,7807,1,2,1978080206,D05,1456,1459,1,20230328
1978,7810,1,1,,H06,0,1,0,20230328
1978,7819,1,2,1978091306,D11,0,9,0,20230328
1978,7819,1,2,1978091306,D12,0150,0100,0,20230328
1978,7819,1,2,1978091312,D11,0,9,0,20230328
1978,7819,1,2,1978091312,D12,0150,0100,0,20230328
1978,7822,1,1,,H06,1,0,0,20230328
1978,7823,1,2,1978101118,D12,0000,0250,0,20230328
1978,7823,1,2,1978101300,D09,0000,0070,0,20230328
1978,7823,1,2,1978101300,D10,0000,0070,0,20230328
1978,7828,1,1,,H06,1,0,0,20230328
1979,7909,1,1,,H06,0,1,0,20230328
1980,8011,1,1,,H06,1,0,0,20230328
1980,8023,1,1,,H06,1,0,0,20230328
1981,8116,1,1,,H06,1,0,0,20230328
1982,8203,1,2,1982033112,D09,0000,0030,0,20230328
1982,8203,1,2,1982033112,D10,0000,0030,0,20230328
1982,8203,1,2,1982033118,D09,0000,0030,0,20230328
1982,8203,1,2,1982033118,D10,0000,0030,0,20230328
1982,8203,1,2,1982040312,D09,0000,0030,0,20230328
1982,8203,1,2,1982040312,D10,0000,0030,0,20230328
1982,8221,1,2,1982100600,D04,182,186,1,20230328
1983,8308,1,1,,H06,1,0,0,20230328
1983,8310,1,1,,H06,1,0,0,20230328
1984,8408,1,1,,H06,1,0,0,20230328
1984,8409,1,2,1984081600,D12,0020,0200,0,20230328
1984,8411,1,2,1984090312,D08,0,9,0,20230328
1984,8423,1,2,1984102600,D08,9,7,0,20230328
1984,8423,1,2,1984102600,D09,0000,0150,0,20230328
1984,8423,1,2,1984102600,D10,0000,0100,0,20230328
1985,8513,1,2,1985083106,D08,2,9,0,20230328
1985,8513,1,2,1985083106,D10,0070,0050,0,20230328
1985,8514,1,1,,H06,1,0,0,20230328
1985,8515,1,2,1985090806,D03,3,4,0,20230328
1985,8521,1,1,,H06,0,1,0,20230328
1985,8522,1,1,,H06,0,1,0,20230328
1986,8603,1,1,,H06,1,0,0,20230328
1986,8603,1,2,1986052100,D09,0150,0200,0,20230328
1986,8603,1,2,1986052100,D10,0200,0150,0,20230328
